,V_mag,Star_name,Bayer_Designation,Distance,Spectral_class,Mass,Radius,Luminosity
57,4,Eta Carinae,η Car,"07,500",O,100,60–881,"5,000,000"
58,4.07,Delta Cephei,δ Cep,0887,F5,4.5,44.5,"2,000"
59,4.08,Mu Cephei,μ Cep,"06,000",M2,19.2,972,"135,000"
60,4.09,Titawin,υ And,044.25,F8,1.27,1.48,3.57
61,4.1,Rho Cassiopeiae,ρ Cas,"08,154",G2,22,636-981,"347,000 - 530,000"
62,4.82,P Cygni,P Cyg,"05,545",B1,30,76,"610,000"
63,4.86,La Superba,CVn,"01,000",C5,,129 - 342,"2,472 - 5,800"
64,4.91,VV Cephei,Cep,"04,900",M2,18.2,"516 - 1,050","200,000"
65,5.20,61 Cygni,Cyg,011.41,K5,0.7,0.665,0.153
66,5.4,R Doradus,Dor,0178,M8,0.7 - 1.0,298,"4,350"
67,5.47,Polaris Australis,Oct,0281,F0,1.59,3.74,38
68,5.71,R Coronae Borealis,Bor,"04,566",G0,0.85,85,"10,000"
69,5.88,54 Piscium,Psc,036.1,K0,0.76,0.94,0.52
70,6.57,Mira,ο Ceti,0300,M7,1.2,370,"9,000"
71,6.65,RW Cephei,Cep,"014,000",K2,13.9,"1,158","417,000"
72,6.67,Lacaille 8760,Mic,012.87,M0,0.6,0.51,0.072
73,6.75,V838 Monocerotis,Mon,"019,896",M6,?,380 - 750,"15,000"
74,7.25,HD 140283,Lib,0190,F?,?,1.4,3.83
75,7.4,II Pegasi,Peg,0130,K2,0.8,3.4,1.06
76,8.05,VY Canis Majoris,CMa,"03,900",M5,17,"1,420","178,000 - 270,000"
77,8.3,Pistol Star,Sgr,"025,000",B3,100,320,"1,700,000"
78,8.6,S Doradus,Dor,"0169,000",B8,24,380,"910,000"
79,8.9,UY Scuti,Sct,"05,100",M4,7–10,755,"86,300 - 87,100"
80,9.5,Barnard's Star,Oph,05.98,M4,0.14,0.20,0.0035
81,10.7,Luhman 16,Vel,06.52,L7,0.04,?,?
82,11.13,Proxima Centauri,Cen,04.25,M6,0.12,0.15,0.0017
83,11.71,KIC 8462852,Cyg,"01,470",F3,1.43,1.58,4.68
84,12.23,R136a1,Dor,"0163,000",WN5,290,32,"8,710,000"
85,12.78,Melnick 42,Dor,"0163,000",O2,189,21.1,"3,600,000"
86,14.10,WR 102,Sag,"018,134",WO2,19,0.39,"282,000"
87,14.38,VFTS 352,Dor,"0164,000",O5,57.48,14.47,"330,000"
88,14.68,YBP 1194,Cnc,"02,772",G5,1.01,0.99,0.98
89,14.71,Gliese 1214,Oph,047.5,M4.5,0.16,0.21,0.0033
90,16.6,NML Cygni,Cyg,"05,251",M6,50,"1,640 - 2,770","229,000"
91,17.30,VB 10,Aql,018.72,M8,0.075,0.10,0.0004
92,18.46,WOH G64,Dor,"0163,000",M5,<20,"1,540 - 1,730","340-589,000"
93,18.80,TRAPPIST-1,Aqr,039.6,M8,0.089,0.12,0.0005
94,21.05,2MASS J0523-1403,Lep,040.3,L2.5,0.07,0.086,0.00013
95,25,WISE 0855−0714,Hya,07.27,Y2,0.003,?,?
96,28.4,Icarus,Leo,"014,400,000,000",B?,33,?,"850,000"
